"day","replicate","copies_per_well","condition","marker"
54,"Replicate 3",41500000,"Condition 7","cccDNA"
60,"Replicate 1",35500000,"Condition 7","cccDNA"
60,"Replicate 2",3.7e+07,"Condition 7","cccDNA"
60,"Replicate 3",29250000,"Condition 7","cccDNA"
2,"Replicate 1",70573.2299804688,"Condition 8","cccDNA"
2,"Replicate 2",66674.5971679688,"Condition 8","cccDNA"
2,"Replicate 3",60658.0993652344,"Condition 8","cccDNA"
4,"Replicate 1",354827.270507812,"Condition 8","cccDNA"
4,"Replicate 2",329200.146484375,"Condition 8","cccDNA"
4,"Replicate 3",252525.146484375,"Condition 8","cccDNA"
6,"Replicate 1",6513857.8125,"Condition 8","cccDNA"
6,"Replicate 2",4983666.796875,"Condition 8","cccDNA"
6,"Replicate 3",4617546.09375,"Condition 8","cccDNA"
9,"Replicate 1",36522378.125,"Condition 8","cccDNA"
9,"Replicate 2",34967931.25,"Condition 8","cccDNA"
9,"Replicate 3",30280865.625,"Condition 8","cccDNA"
12,"Replicate 1",80523187.5,"Condition 8","cccDNA"
12,"Replicate 2",88052343.75,"Condition 8","cccDNA"
12,"Replicate 3",89047718.75,"Condition 8","cccDNA"
18,"Replicate 1",144855675,"Condition 8","cccDNA"
18,"Replicate 2",181279112.5,"Condition 8","cccDNA"
18,"Replicate 3",149084537.5,"Condition 8","cccDNA"
24,"Replicate 1",134254225,"Condition 8","cccDNA"
24,"Replicate 2",188937375,"Condition 8","cccDNA"
24,"Replicate 3",165718100,"Condition 8","cccDNA"
30,"Replicate 1",1.45e+08,"Condition 8","cccDNA"
30,"Replicate 2",182500000,"Condition 8","cccDNA"
30,"Replicate 3",163250000,"Condition 8","cccDNA"
32,"Replicate 1",98492400,"Condition 8","cccDNA"
32,"Replicate 2",106579637.5,"Condition 8","cccDNA"
32,"Replicate 3",134558987.5,"Condition 8","cccDNA"
34,"Replicate 1",120272025,"Condition 8","cccDNA"
34,"Replicate 2",122768687.5,"Condition 8","cccDNA"
34,"Replicate 3",131078337.5,"Condition 8","cccDNA"
36,"Replicate 1",108234062.5,"Condition 8","cccDNA"
36,"Replicate 2",104565981.25,"Condition 8","cccDNA"
36,"Replicate 3",98510131.25,"Condition 8","cccDNA"
39,"Replicate 1",90975875,"Condition 8","cccDNA"
39,"Replicate 2",94621406.25,"Condition 8","cccDNA"
39,"Replicate 3",95107143.75,"Condition 8","cccDNA"
42,"Replicate 1",140750000,"Condition 8","cccDNA"
42,"Replicate 2",98250000,"Condition 8","cccDNA"
42,"Replicate 3",106250000,"Condition 8","cccDNA"
45,"Replicate 1",80500000,"Condition 8","cccDNA"
45,"Replicate 2",86250000,"Condition 8","cccDNA"
45,"Replicate 3",7.7e+07,"Condition 8","cccDNA"
47,"Replicate 1",66250000,"Condition 8","cccDNA"
47,"Replicate 2",50750000,"Condition 8","cccDNA"
47,"Replicate 3",60750000,"Condition 8","cccDNA"
49,"Replicate 1",4.2e+07,"Condition 8","cccDNA"
49,"Replicate 2",41750000,"Condition 8","cccDNA"
49,"Replicate 3",5.2e+07,"Condition 8","cccDNA"
51,"Replicate 1",28500000,"Condition 8","cccDNA"
51,"Replicate 2",43250000,"Condition 8","cccDNA"
51,"Replicate 3",46250000,"Condition 8","cccDNA"
54,"Replicate 1",5.2e+07,"Condition 8","cccDNA"
54,"Replicate 2",4.9e+07,"Condition 8","cccDNA"
54,"Replicate 3",54500000,"Condition 8","cccDNA"
57,"Replicate 1",4.2e+07,"Condition 8","cccDNA"
57,"Replicate 2",4.1e+07,"Condition 8","cccDNA"
57,"Replicate 3",57750000,"Condition 8","cccDNA"
60,"Replicate 1",33500000,"Condition 8","cccDNA"
60,"Replicate 2",35250000,"Condition 8","cccDNA"
60,"Replicate 3",43750000,"Condition 8","cccDNA"
2,"Replicate 1",312500,"Condition 1","Intracellular HBV DNA"
2,"Replicate 2",425000,"Condition 1","Intracellular HBV DNA"
2,"Replicate 3",255000,"Condition 1","Intracellular HBV DNA"
4,"Replicate 1",29500000,"Condition 1","Intracellular HBV DNA"
4,"Replicate 2",2.8e+07,"Condition 1","Intracellular HBV DNA"
4,"Replicate 3",23075000,"Condition 1","Intracellular HBV DNA"
6,"Replicate 1",342500000,"Condition 1","Intracellular HBV DNA"
6,"Replicate 2",4.15e+08,"Condition 1","Intracellular HBV DNA"
6,"Replicate 3",5.8e+08,"Condition 1","Intracellular HBV DNA"
9,"Replicate 1",1622500000,"Condition 1","Intracellular HBV DNA"
9,"Replicate 2",2.65e+09,"Condition 1","Intracellular HBV DNA"
9,"Replicate 3",1.57e+09,"Condition 1","Intracellular HBV DNA"
12,"Replicate 1",2477500000,"Condition 1","Intracellular HBV DNA"
12,"Replicate 2",3.95e+09,"Condition 1","Intracellular HBV DNA"
12,"Replicate 3",5.425e+09,"Condition 1","Intracellular HBV DNA"
18,"Replicate 1",3.9e+09,"Condition 1","Intracellular HBV DNA"
18,"Replicate 2",4.15e+09,"Condition 1","Intracellular HBV DNA"
18,"Replicate 3",4.075e+09,"Condition 1","Intracellular HBV DNA"
24,"Replicate 1",2.6e+09,"Condition 1","Intracellular HBV DNA"
24,"Replicate 2",3.075e+09,"Condition 1","Intracellular HBV DNA"
24,"Replicate 3",3.475e+09,"Condition 1","Intracellular HBV DNA"
30,"Replicate 1",4.025e+09,"Condition 1","Intracellular HBV DNA"
30,"Replicate 2",3.675e+09,"Condition 1","Intracellular HBV DNA"
30,"Replicate 3",3.925e+09,"Condition 1","Intracellular HBV DNA"
36,"Replicate 1",5.225e+09,"Condition 1","Intracellular HBV DNA"
36,"Replicate 2",3.95e+09,"Condition 1","Intracellular HBV DNA"
36,"Replicate 3",4.725e+09,"Condition 1","Intracellular HBV DNA"
42,"Replicate 1",7.15e+09,"Condition 1","Intracellular HBV DNA"
42,"Replicate 2",5.65e+09,"Condition 1","Intracellular HBV DNA"
42,"Replicate 3",5.225e+09,"Condition 1","Intracellular HBV DNA"
48,"Replicate 1",5.45e+09,"Condition 1","Intracellular HBV DNA"
48,"Replicate 2",7.6e+09,"Condition 1","Intracellular HBV DNA"
48,"Replicate 3",1.3875e+10,"Condition 1","Intracellular HBV DNA"
